충전소ID,충전기ID,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량
ME19A154,1,258,5037.49,223,4858.38,200,4681.55,137,3475.24,145,3822.66,158,4377.5,152,3689.25,152,3907.84,127,3155.01
ME19A155,1,171,4502.19,111,3014.41,110,2818.32,114,3213.17,51,1547.05,55,1503.7,61,1696.99,35,1002.05,39,987.17
ME19A156,1,25,697.72,27,746.28,40,976.98,28,826.45,27,908.87,26,930.66,25,704.21,18,534.44,10,176.93
ME19A157,1,87,1436.19,75,1062.8,113,1496.57,101,1643.74,113,2064.8,93,1835.59,119,1989.52,109,2017.45,123,1909.74
ME19A158,1,301,6630.1,258,5630.4,208,4263.01,219,4822.67,177,3974.35,175,4419.97,209,6048.94,190,5400.09,154,4211.89
ME19A159,1,24,557.39,24,718.87,28,765.97,23,719.9,32,762.21,42,1075.38,40,998.94,42,865.91,46,1065.63
ME19A160,1,137,3267.07,121,2947.27,107,2366.67,127,3256.72,125,3524.3,90,2894.54,91,2668.65,121,3377.06,95,2769.82
ME19A164,1,436,10009.51,313,6892.82,208,4839.96,256,6074.24,162,3940.21,258,6504.82,293,8306.06,341,8594.98,253,6495.93
ME19A166,1,278,7242.59,231,6241.52,183,5263.56,66,1690.88,73,1998.83,64,2010.96,162,4744.22,194,5402.05,139,3489.94
ME19A170,1,113,2593.3,137,3087.57,125,2979.33,101,2613.09,129,3224.04,82,2143.41,89,2226.75,110,2472.11,101,1760.63
ME19A171,1,274,6187.45,218,5000.78,196,4588.81,161,4021.08,157,4194.62,207,5610.28,224,5613.45,221,6051.12,201,4440.32
ME19A243,21,318,7461.41,245,5378.67,211,4712.11,150,3966.06,159,4528.27,161,4806.01,192,5436.55,184,5342.03,198,5456.78
ME19A243,22,326,7012.12,260,5163.47,255,5194.42,201,4165.67,210,4685.26,188,3838.81,160,3489.51,171,3857.5,128,3126.96
ME19A244,21,211,4308.34,139,2873.3,125,3070.4,123,3143.47,87,2576.81,104,2753.32,132,3498.73,146,4012.69,74,2077.54
ME19A244,22,315,6282.77,204,4314.22,176,3582.14,174,4312.35,126,2866.53,153,3585.54,179,4415.49,198,5199.81,106,3162.11
ME19A245,21,212,5073.23,163,4530.24,143,4081.21,116,3316.5,132,4148.28,113,3090.72,139,4309.14,115,3305.92,124,3282.71
ME19A245,22,293,8823.37,217,6865.12,190,5650.88,161,5182.35,143,4470.74,155,5061.21,158,5367.25,163,5213.58,145,4651.28
ME19A246,21,76,2336.23,41,1174.17,33,960.16,32,1157.44,40,1181.2,30,1100.08,41,1244.38,35,1278.51,28,1086.14
ME19A246,22,66,2297.27,30,911.06,32,1248.3,29,1262.52,38,1389.35,45,1616.47,37,1418.22,27,906.97,23,977.31
ME19A247,21,75,1613.53,135,3342.79,50,1156.34,19,756.33,16,380.08,25,685.91,39,964.05,43,1132.09,40,1090.96
ME19A247,22,203,4662.09,59,1311.71,96,2890.45,85,2717.4,85,2801.05,70,2104.07,70,2159.16,103,3110.67,77,2308.2
ME19A248,21,83,2228.32,67,2125.51,48,1605.39,38,1130.33,53,1759.03,44,1490.09,80,2659.13,49,1356.22,37,1115.31
ME19A248,22,62,1550.17,51,1368.91,33,1092.05,34,955.91,34,1142.43,27,862.75,41,1229.27,42,1323.92,72,2119.34
ME19A249,21,77,1764.02,73,1503.82,62,1405.55,53,1278.51,38,808.07,45,1186.09,55,1314.2,35,876.2,40,1035.16
ME19A249,22,187,4172.76,174,3839.7,164,4200.51,145,3687.08,149,3776.04,98,2368.59,115,2989.09,130,3617.42,109,2856.25
ME19A250,21,59,1128.31,27,687.07,30,782.38,30,927.09,30,829.89,36,1018.5,35,1002.79,26,809.83,31,876.98
ME19A250,22,35,825.43,22,592.87,9,176.99,13,298.39,12,308.71,10,208.08,21,685.96,31,1040.01,37,1237.07
ME19A251,21,105,1990.75,116,2025.06,113,2244.01,91,1856.47,96,1851.16,112,2191.13,121,2519.13,107,2000.36,75,1811.36
ME19A251,22,82,1713.78,68,1467.21,67,1441.9,37,921.76,38,765.1,43,1044.74,27,710.96,25,604.84,33,1035.42
ME19A252,21,62,1325.79,57,1026.93,70,1121.57,44,850.67,53,1205.61,62,1409.82,42,1011.59,26,590.97,29,784.12
ME19A252,22,22,490.31,16,451.14,17,480.98,11,374.08,18,457.6,10,241.63,20,507.36,14,545.14,5,108.87
ME19A253,21,74,2106.04,62,1540.5,47,1261.95,47,1347.95,38,899.98,35,1058.26,50,1625.29,49,1371.58,42,1147.02
ME19A253,22,122,2720.55,96,2104.21,45,1171.91,55,1619.64,55,1542.33,66,2144.7,63,1946.83,70,2061.16,46,1354.21
ME19A254,21,75,1848.58,29,905.35,19,588.29,27,923.68,31,892.86,38,1139.3,22,686.61,45,1521.25,25,682.75
ME19A254,22,62,1388.69,47,1213.35,42,1173.45,41,1143.68,36,900.45,42,1233.03,72,2006.63,70,2203.32,25,637.89
ME19A265,21,429,9699.86,342,7880.33,306,7348.73,310,7449.36,283,6862.91,247,6402.16,293,6870.71,299,7327.14,270,7452.28
ME19A265,22,295,6358.34,198,4928.81,182,4816.65,215,4582.34,208,4954.05,173,4245.55,177,4411.35,161,4325.25,171,4638.89
ME19A274,21,157,3713.98,112,2955.92,85,2213.01,86,2313.86,80,2117.37,84,2356.75,103,2858.99,116,3028.61,66,1768.82
